
-- Executing script file `/home/yong/ysyx/ysyx-workbench-rv32-interview/npc/result/performance/predictor-split-20260915/sta/riscv32_core_reset_boundary-750MHz-buffered/write.ys' --
Importing module MUX2_X2 from JSON tree.
Importing module MUX2_X1 from JSON tree.
Importing module LOGIC1_X1 from JSON tree.
Importing module LOGIC0_X1 from JSON tree.
Importing module INV_X8 from JSON tree.
Importing module INV_X4 from JSON tree.
Importing module INV_X32 from JSON tree.
Importing module INV_X2 from JSON tree.
Importing module INV_X16 from JSON tree.
Importing module INV_X1 from JSON tree.
Importing module HA_X1 from JSON tree.
Importing module FILLCELL_X8 from JSON tree.
Importing module FILLCELL_X4 from JSON tree.
Importing module FILLCELL_X32 from JSON tree.
Importing module FILLCELL_X2 from JSON tree.
Importing module FILLCELL_X16 from JSON tree.
Importing module FILLCELL_X1 from JSON tree.
Importing module FA_X1 from JSON tree.
Importing module DLL_X2 from JSON tree.
Importing module DLL_X1 from JSON tree.
Importing module DLH_X2 from JSON tree.
Importing module DLH_X1 from JSON tree.
Importing module DFF_X2 from JSON tree.
Importing module DFF_X1 from JSON tree.
Importing module DFFS_X2 from JSON tree.
Importing module DFFS_X1 from JSON tree.
Importing module DFFR_X2 from JSON tree.
Importing module DFFR_X1 from JSON tree.
Importing module DFFRS_X2 from JSON tree.
Importing module DFFRS_X1 from JSON tree.
Importing module CLKGATE_X8 from JSON tree.
Importing module CLKGATE_X4 from JSON tree.
Importing module CLKGATE_X2 from JSON tree.
Importing module CLKGATE_X1 from JSON tree.
Importing module CLKGATETST_X8 from JSON tree.
Importing module CLKGATETST_X4 from JSON tree.
Importing module CLKGATETST_X2 from JSON tree.
Importing module CLKGATETST_X1 from JSON tree.
Importing module CLKBUF_X3 from JSON tree.
Importing module CLKBUF_X2 from JSON tree.
Importing module CLKBUF_X1 from JSON tree.
Importing module BUF_X8 from JSON tree.
Importing module BUF_X4 from JSON tree.
Importing module BUF_X32 from JSON tree.
Importing module BUF_X2 from JSON tree.
Importing module BUF_X16 from JSON tree.
Importing module BUF_X1 from JSON tree.
Importing module AOI22_X4 from JSON tree.
Importing module AOI22_X2 from JSON tree.
Importing module AOI22_X1 from JSON tree.
Importing module AOI222_X4 from JSON tree.
Importing module AOI222_X2 from JSON tree.
Importing module AOI222_X1 from JSON tree.
Importing module AOI221_X4 from JSON tree.
Importing module AOI221_X2 from JSON tree.
Importing module AOI221_X1 from JSON tree.
Importing module AOI21_X4 from JSON tree.
Importing module AOI21_X2 from JSON tree.
Importing module AOI21_X1 from JSON tree.
Importing module AOI211_X4 from JSON tree.
Importing module AOI211_X2 from JSON tree.
Importing module AOI211_X1 from JSON tree.
Importing module ANTENNA_X1 from JSON tree.
Importing module AND4_X4 from JSON tree.
Importing module AND4_X2 from JSON tree.
Importing module AND4_X1 from JSON tree.
Importing module AND3_X4 from JSON tree.
Importing module AND3_X2 from JSON tree.
Importing module AND3_X1 from JSON tree.
Importing module AND2_X4 from JSON tree.
Importing module AND2_X2 from JSON tree.
Importing module AND2_X1 from JSON tree.

2. Executing HIERARCHY pass (managing design hierarchy).

2.1. Analyzing design hierarchy..
Top module:  \riscv32_core_reset_boundary

2.2. Analyzing design hierarchy..
Top module:  \riscv32_core_reset_boundary
Removed 0 unused modules.

3. Executing CHECK pass (checking for obvious problems).
Checking module riscv32_core_reset_boundary...
Found and reported 0 problems.

4. Printing statistics.

=== riscv32_core_reset_boundary ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
    44265        - wires
    44265        - wire bits
    44265        - public wires
    44265        - public wire bits
      383        - ports
      383        - port bits
    35162 7.65E+04 cells
      430   457.52   AND2_X1
      267   355.11   AND3_X1
      292  466.032   AND4_X1
      643   855.19   AOI211_X1
     1954 2.08E+03   AOI21_X1
      532  849.072   AOI221_X1
      227  483.056   AOI222_X1
     1196  1590.68   AOI22_X1
     1128  900.144   BUF_X1
        1    1.064   BUF_X2
       96  178.752   BUF_X4
       95    75.81   CLKBUF_X1
      497 1.72E+03   CLKGATE_X1
     1164  6192.48   DFFR_X1
       24   127.68   DFFS_X1
     7681 3.47E+04   DFF_X1
     2048  5447.68   DLH_X1
      782  416.024   INV_X1
        1    0.532   LOGIC0_X1
        1    0.532   LOGIC1_X1
     1629 3.03E+03   MUX2_X1
     1500     1197   NAND2_X1
      622  661.808   NAND3_X1
      496   659.68   NAND4_X1
     1939 1.55E+03   NOR2_X1
     1442 1.53E+03   NOR3_X1
      595   791.35   NOR4_X1
     1457  1937.81   OAI211_X1
     2974 3.16E+03   OAI21_X1
     1392 2.22E+03   OAI221_X1
        8   17.024   OAI222_X1
      983  1307.39   OAI22_X1
       72  134.064   OAI33_X1
      351  373.464   OR2_X1
      209   277.97   OR3_X1
       80   127.68   OR4_X1
      220   351.12   XNOR2_X1
      134  213.864   XOR2_X1

   Chip area for module '\riscv32_core_reset_boundary': 76479.522000
     of which used for sequential elements: 41053.642000 (53.68%)

5. Executing Verilog backend.
Dumping module `\riscv32_core_reset_boundary'.
